resource,site_id,km_to_nearest_cross_region,region,bridged_to
electricity,4,64.59,DEU,FRA
electricity,2266,3.96,FRA,DEU
electricity,3833,3.96,FRA,DEU
electricity,3834,3.96,FRA,DEU
electricity,3835,3.96,FRA,DEU
electricity,3839,64.59,FRA,DEU
electricity,26,56.62,USA|massachusetts,USA|rhode island
electricity,3341,26.6,USA|rhode island,USA|massachusetts
electricity,5012,83.16,USA|connecticut,USA|rhode island
electricity,5134,68.05,USA|connecticut,USA|rhode island
electricity,36,54.72,USA|new york,USA|connecticut
electricity,1281,54.5,USA|connecticut,USA|new york
electricity,60,56.52,USA|massachusetts,USA|rhode island
electricity,62,6.59,USA|new jersey,USA|new york
electricity,2904,6.12,USA|new york,USA|new jersey
electricity,69,6.12,USA|new jersey,USA|new york
electricity,106,18.43,USA|new jersey,USA|new york
electricity,3031,18.43,USA|new york,USA|new jersey
electricity,3032,18.43,USA|new york,USA|new jersey
electricity,5236,18.99,USA|new york,USA|new jersey
electricity,5319,19.0,USA|new york,USA|new jersey
electricity,5322,19.0,USA|new york,USA|new jersey
electricity,114,8.46,USA|pennsylvania,USA|new jersey
electricity,2057,37.09,USA|delaware,USA|pennsylvania
electricity,3778,8.18,USA|new jersey,USA|pennsylvania
electricity,151,135.97,USA|iowa,USA|wisconsin
electricity,6038,39.64,USA|wisconsin,USA|iowa
electricity,161,3.06,USA|new jersey,USA|new york
electricity,2903,40.42,USA|new york,USA|new jersey
electricity,2905,40.42,USA|new york,USA|new jersey
electricity,4338,40.42,USA|new york,USA|new jersey
electricity,4528,3.0,USA|new york,USA|new jersey
electricity,5468,40.17,USA|new york,USA|new jersey
electricity,5558,2.98,USA|new york,USA|new jersey
electricity,171,54.59,USA|new york,USA|connecticut
electricity,3793,54.37,USA|connecticut,USA|new york
electricity,173,204.72,USA|wisconsin,USA|michigan
electricity,238,192.71,USA|michigan,USA|wisconsin
electricity,1079,226.64,USA|michigan,USA|wisconsin
electricity,6076,246.86,USA|michigan,USA|wisconsin
electricity,209,8.46,USA|pennsylvania,USA|new jersey
electricity,613,204.68,USA|wisconsin,USA|michigan
electricity,2645,204.68,USA|wisconsin,USA|michigan
electricity,2646,204.68,USA|wisconsin,USA|michigan
electricity,2647,204.68,USA|wisconsin,USA|michigan
electricity,5562,192.71,USA|wisconsin,USA|michigan
electricity,253,9.69,USA|washington dc,USA|maryland
electricity,569,9.69,USA|maryland,USA|washington dc
electricity,261,144.23,IRL,GBR
electricity,751,139.98,GBR,IRL
electricity,1893,140.12,GBR,IRL
electricity,303,27.68,USA|tennessee,USA|mississippi
electricity,5087,7.48,USA|mississippi,USA|tennessee
electricity,306,16.19,USA|ohio,USA|kentucky
electricity,1655,15.38,USA|kentucky,USA|ohio
electricity,309,60.83,USA|illinois,USA|wisconsin
electricity,4863,68.12,USA|wisconsin,USA|illinois
electricity,5820,60.57,USA|wisconsin,USA|illinois
electricity,6036,68.97,USA|wisconsin,USA|illinois
electricity,6037,69.54,USA|wisconsin,USA|illinois
electricity,351,28.01,USA|new jersey,USA|new york
electricity,404,9.69,USA|washington dc,USA|maryland
electricity,488,33.48,USA|massachusetts,USA|new hampshire
electricity,671,33.48,USA|new hampshire,USA|massachusetts
electricity,4510,37.82,USA|new hampshire,USA|massachusetts
electricity,4681,37.74,USA|new hampshire,USA|massachusetts
electricity,489,33.48,USA|massachusetts,USA|new hampshire
electricity,495,26.83,BEL,NLD
electricity,808,44.7,NLD,BEL
electricity,809,45.79,NLD,BEL
electricity,1318,42.47,NLD,BEL
electricity,1331,33.68,NLD,BEL
electricity,1333,26.83,NLD,BEL
electricity,2147,56.97,NLD,BEL
electricity,2190,40.56,NLD,BEL
electricity,3407,29.31,NLD,BEL
electricity,496,29.28,BEL,NLD
electricity,502,15.74,USA|kentucky,USA|indiana
electricity,4959,15.74,USA|indiana,USA|kentucky
electricity,4983,22.69,USA|indiana,USA|kentucky
electricity,6047,37.02,USA|indiana,USA|kentucky
electricity,517,85.59,USA|pennsylvania,USA|west virginia
electricity,4165,70.23,USA|west virginia,USA|pennsylvania
electricity,4852,86.79,USA|west virginia,USA|pennsylvania
electricity,6118,18.47,USA|west virginia,USA|pennsylvania
electricity,929,9.69,USA|washington dc,USA|maryland
electricity,2597,9.69,USA|washington dc,USA|maryland
electricity,2659,9.69,USA|washington dc,USA|maryland
electricity,2842,9.69,USA|washington dc,USA|maryland
electricity,3132,9.69,USA|washington dc,USA|maryland
electricity,3188,9.69,USA|washington dc,USA|maryland
electricity,787,46.63,USA|massachusetts,USA|new hampshire
electricity,789,46.63,USA|massachusetts,USA|new hampshire
electricity,793,34.07,USA|massachusetts,USA|new hampshire
electricity,5446,34.07,USA|massachusetts,USA|new hampshire
electricity,707,53.25,ITA,CHE
electricity,3872,47.76,CHE,ITA
electricity,4475,46.08,CHE,ITA
electricity,4647,47.77,CHE,ITA
electricity,725,75.03,FRA,CHE
electricity,2271,75.03,CHE,FRA
electricity,727,39.74,LUX,FRA
electricity,4364,39.73,FRA,LUX
electricity,752,144.23,IRL,GBR
